"Event ID";Firm;"Reference Market";"Event Date";"Analysis Report";"Estimation Window Length";"End of Estimation Window";"First Date Estimation Window";"Last Date Estimation Window";"Actual Stock Return";"Actual Market Return";Alpha;Beta;"Residual Standard Deviation";"Expected Market Return";"First-order Autocorellation"
;"Overarching comments";;;"Analysis performed with warnings: One firm for ABHAR calculation in (-10, 30) and grouping variable ""Other"".";;;;;;;;;;;
1;RPD;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0133;0.0021;0.0014;1.114;0.0222;0.0037;0.0146
2;BRKS;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0381;0.0021;0.0004;1.4882;0.0237;0.0034;-0.0788
3;CDAY;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.004;0.0021;0.0018;0.8722;0.0188;0.0036;0.0106
4;AMZN;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0079;0.0021;0.0006;0.704;0.0115;0.0021;0.0326
5;AYX;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0412;0.0021;0.0027;0.8163;0.0297;0.0044;0.0766
6;MODN;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0233;0.0021;0.0024;0.6356;0.0167;0.0037;0.0824
7;GDDY;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0119;0.0021;-0.0004;0.8154;0.0168;0.0013;-0.0978
8;SPWR;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0256;0.0021;0.0014;1.4592;0.0379;0.0044;0.0482
9;NOW;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0135;0.0021;0.0015;0.8852;0.0187;0.0033;0.061
10;AB;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0036;0.0021;0.0005;0.7869;0.0109;0.0022;0.0037
11;ACGL;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0058;0.0021;0.0014;0.5047;0.0096;0.0024;-0.0611
12;MTH;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0116;0.0021;0.0018;0.4861;0.0188;0.0028;-0.0665
13;MDB;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0111;0.0021;0.002;1.0012;0.0343;0.0041;0.0448
14;FTNT;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0101;0.0021;0.0013;0.8847;0.0173;0.0031;-0.0018
15;DISCA;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0165;0.0021;-0.0002;0.8362;0.0165;0.0015;-0.1004
16;TPX;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0023;0.0021;0.0018;1.0561;0.0155;0.004;-0.1096
17;AMP;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0038;0.0021;0.0009;1.2017;0.0113;0.0034;-0.0768
18;SAIA;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0402;0.0021;0.0011;1.165;0.0194;0.0035;-0.0487
19;AMD;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0281;0.0021;0.0024;1.622;0.0241;0.0058;0.0075
20;BLK;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.009;0.0021;0.0008;0.9889;0.0084;0.0028;-0.0072
21;INS;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0093;0.0021;0.0027;1.0385;0.0482;0.0048;-0.004
22;VRTX;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0109;0.0021;0.0008;0.7983;0.0146;0.0025;-0.0331
23;CMG;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0067;0.0021;0.0019;0.4063;0.0156;0.0028;-0.0125
24;STZ;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0082;0.0021;0.0003;0.5163;0.0146;0.0014;0.0726
25;ZEN;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0193;0.0021;0.0005;0.9298;0.0194;0.0024;0.0124
26;PPL;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0088;0.0021;0.0007;0.2461;0.0096;0.0013;0.0275
27;MCK;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.0164;0.0021;0.0002;0.8207;0.0165;0.0019;0.1184
28;AFL;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0012;0.0021;0.0002;0.4652;0.0085;0.0012;-0.0601
29;AEL;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;0.006;0.0021;-0.001;1.4477;0.0153;0.002;-0.0619
30;TDG;RUT;2020-02-20;"Analysis performed successfully";250;-11;2019-02-07;2020-02-04;-0.0109;0.0021;0.0019;0.6768;0.0133;0.0033;0.0742
