"Event ID";AR(-10);AR(-9);AR(-8);AR(-7);AR(-6);AR(-5);AR(-4);AR(-3);AR(-2);AR(-1);AR(0);AR(1);AR(2);AR(3);AR(4);AR(5);AR(6);AR(7);AR(8);AR(9);AR(10);AR(11);AR(12);AR(13);AR(14);AR(15);AR(16);AR(17);AR(18);AR(19);AR(20);AR(21);AR(22);AR(23);AR(24);AR(25);AR(26);AR(27);AR(28);AR(29);AR(30);t-value(-10);t-value(-9);t-value(-8);t-value(-7);t-value(-6);t-value(-5);t-value(-4);t-value(-3);t-value(-2);t-value(-1);t-value(0);t-value(1);t-value(2);t-value(3);t-value(4);t-value(5);t-value(6);t-value(7);t-value(8);t-value(9);t-value(10);t-value(11);t-value(12);t-value(13);t-value(14);t-value(15);t-value(16);t-value(17);t-value(18);t-value(19);t-value(20);t-value(21);t-value(22);t-value(23);t-value(24);t-value(25);t-value(26);t-value(27);t-value(28);t-value(29);t-value(30)
1;-0.0213;-0.0169;-0.0015;0.0244;-0.1055;-0.0213;-0.0114;-0.0022;0.0105;-0.0178;-0.017;-0.0166;-0.0021;-0.021;0.0171;0.0036;0.0035;-0.0288;0.0114;0.0259;-0.0031;-0.0186;0.0184;-0.0033;0.0394;0.0715;-0.0849;0.0237;0.0447;0.0499;-0.0531;0.0861;0.0329;-0.0084;0.0006;0.0186;0.0015;-0.0247;-0.0205;-0.0016;-0.0731;-0.9595;-0.7613;-0.0676;1.0991;-4.7523;-0.9595;-0.5135;-0.0991;0.473;-0.8018;-0.7658;-0.7477;-0.0946;-0.9459;0.7703;0.1622;0.1577;-1.2973;0.5135;1.1667;-0.1396;-0.8378;0.8288;-0.1486;1.7748;3.2207;-3.8243;1.0676;2.0135;2.2477;-2.3919;3.8784;1.482;-0.3784;0.027;0.8378;0.0676;-1.1126;-0.9234;-0.0721;-3.2928
2;-0.0055;0.024;-0.0165;0.058;0.002;-0.0092;-0.0028;-0.024;-0.0195;0.0125;-0.0415;-0.0235;0.0061;0.0042;0.0162;0.0236;0.0378;-0.0278;0.0001;0.0102;0.0213;0.0026;0.0513;-0.0007;0.06;0.0826;-0.0908;0.0816;-0.0535;0.035;-0.0902;0.0693;0.0558;0.0296;-0.013;-0.0087;0.0197;-0.0006;0.0054;0.0653;-0.0222;-0.2321;1.0127;-0.6962;2.4473;0.0844;-0.3882;-0.1181;-1.0127;-0.8228;0.5274;-1.7511;-0.9916;0.2574;0.1772;0.6835;0.9958;1.5949;-1.173;0.0042;0.4304;0.8987;0.1097;2.1646;-0.0295;2.5316;3.4852;-3.8312;3.443;-2.2574;1.4768;-3.8059;2.9241;2.3544;1.2489;-0.5485;-0.3671;0.8312;-0.0253;0.2278;2.7553;-0.9367
3;-0.0739;-0.108;0.0245;0.0245;-0.0151;0.0107;0.0318;0.0193;0.0063;0.012;-0.0076;0.0039;0.0128;0.0158;0.0191;0.0105;-0.0131;0.0217;-0.049;0.0071;-0.0218;-0.0152;0.0152;-0.0116;-0.0479;-0.0509;0.0572;-0.0137;-0.0272;-0.011;-0.0205;0.0757;-0.0139;-0.0156;-0.0035;-0.017;-0.0365;0.0333;-0.0243;-0.023;-0.0739;-3.9309;-5.7447;1.3032;1.3032;-0.8032;0.5691;1.6915;1.0266;0.3351;0.6383;-0.4043;0.2074;0.6809;0.8404;1.016;0.5585;-0.6968;1.1543;-2.6064;0.3777;-1.1596;-0.8085;0.8085;-0.617;-2.5479;-2.7074;3.0426;-0.7287;-1.4468;-0.5851;-1.0904;4.0266;-0.7394;-0.8298;-0.1862;-0.9043;-1.9415;1.7713;-1.2926;-1.2234;-3.9309
4;-0.016;0.0063;0.0222;0.0207;0.0031;-0.0013;-0.0072;-0.0051;0.0107;0.0023;-0.01;-0.0203;-0.0214;0.0057;0.0114;-0.0246;0.0092;0.0162;-0.0087;0.0127;-0.0027;0.0016;0.0143;0.029;0.0078;0.0003;0.0093;0.0526;0.0219;0.089;-0.0196;0.0111;0.0377;-0.0444;-0.0378;-0.0074;0.0001;0.0162;-0.0047;0.0289;-0.0038;-1.3913;0.5478;1.9304;1.8;0.2696;-0.113;-0.6261;-0.4435;0.9304;0.2;-0.8696;-1.7652;-1.8609;0.4957;0.9913;-2.1391;0.8;1.4087;-0.7565;1.1043;-0.2348;0.1391;1.2435;2.5217;0.6783;0.0261;0.8087;4.5739;1.9043;7.7391;-1.7043;0.9652;3.2783;-3.8609;-3.287;-0.6435;0.0087;1.4087;-0.4087;2.513;-0.3304
5;-0.0844;0.007;0.0179;0.0294;-0.0118;0.0205;-0.0201;0.0909;-0.0094;-0.0289;-0.0456;-0.0597;-0.0082;0.0188;0.0376;-0.0018;0.0581;0.0133;-0.009;-0.0061;0.0591;-0.0955;-0.1166;0.0429;-0.0352;-0.0355;0.0152;-0.1194;-0.0083;0.1077;0.069;0.0074;-0.026;0.0317;-0.0835;-0.0036;-0.048;0.0056;-0.0067;-0.0152;-0.072;-2.8418;0.2357;0.6027;0.9899;-0.3973;0.6902;-0.6768;3.0606;-0.3165;-0.9731;-1.5354;-2.0101;-0.2761;0.633;1.266;-0.0606;1.9562;0.4478;-0.303;-0.2054;1.9899;-3.2155;-3.9259;1.4444;-1.1852;-1.1953;0.5118;-4.0202;-0.2795;3.6263;2.3232;0.2492;-0.8754;1.0673;-2.8114;-0.1212;-1.6162;0.1886;-0.2256;-0.5118;-2.4242
6;-0.0253;-0.0065;0.0169;0.0107;0.0341;0.0014;0.0208;0.0011;-0.0485;0.0307;-0.0271;-0.0327;-0.0123;-0.0205;0.0074;-0.0153;0.0036;0.0079;-0.0204;-0.0053;-0.0306;-0.0127;-0.0368;0.0115;-0.0541;-0.0159;-0.0199;-0.0968;0.0056;-0.0966;0.0366;0.0742;0.0226;0.0588;0.031;0.0171;0.009;-0.0302;-0.0178;-0.0416;-0.0057;-1.515;-0.3892;1.012;0.6407;2.0419;0.0838;1.2455;0.0659;-2.9042;1.8383;-1.6228;-1.9581;-0.7365;-1.2275;0.4431;-0.9162;0.2156;0.4731;-1.2216;-0.3174;-1.8323;-0.7605;-2.2036;0.6886;-3.2395;-0.9521;-1.1916;-5.7964;0.3353;-5.7844;2.1916;4.4431;1.3533;3.521;1.8563;1.024;0.5389;-1.8084;-1.0659;-2.491;-0.3413
7;-0.0128;0.0072;0.0147;-0.0002;0.0022;0.0082;-0.0022;0.1042;-0.0074;-0.0214;0.0105;0.0107;-0.0047;-0.0057;-0.0027;0.0099;0.0094;-0.0221;-0.0186;-0.0089;0.0023;-0.0108;-0.0029;0.018;-0.0123;-0.0193;-0.0014;-0.0868;-0.0444;0.0243;0.0795;0.0528;0.0109;0.0885;-0.0071;-0.0307;0.0016;0.0246;-0.0312;-0.0175;0.0519;-0.7619;0.4286;0.875;-0.0119;0.131;0.4881;-0.131;6.2024;-0.4405;-1.2738;0.625;0.6369;-0.2798;-0.3393;-0.1607;0.5893;0.5595;-1.3155;-1.1071;-0.5298;0.1369;-0.6429;-0.1726;1.0714;-0.7321;-1.1488;-0.0833;-5.1667;-2.6429;1.4464;4.7321;3.1429;0.6488;5.2679;-0.4226;-1.8274;0.0952;1.4643;-1.8571;-1.0417;3.0893
8;0.0032;0.0294;-0.0113;-0.0131;0.0302;0.0892;-0.2206;-0.0521;0.1013;0.1142;0.0212;-0.0332;0.0174;0.0056;-0.0521;-0.0092;0.0444;-0.025;0.0516;-0.0098;0.0623;-0.0614;-0.0752;-0.0439;-0.0041;-0.0348;-0.1105;0.1038;0.0816;0.0736;0.0246;0.1057;0.0737;-0.0365;-0.0361;-0.135;-0.0943;-0.0497;-0.056;0.0377;0.0131;0.0844;0.7757;-0.2982;-0.3456;0.7968;2.3536;-5.8206;-1.3747;2.6728;3.0132;0.5594;-0.876;0.4591;0.1478;-1.3747;-0.2427;1.1715;-0.6596;1.3615;-0.2586;1.6438;-1.6201;-1.9842;-1.1583;-0.1082;-0.9182;-2.9156;2.7388;2.153;1.942;0.6491;2.7889;1.9446;-0.9631;-0.9525;-3.562;-2.4881;-1.3113;-1.4776;0.9947;0.3456
9;-0.054;0.0103;0.0076;-0.0023;-0.0043;0.0103;0.002;0.014;0.0044;-0.0056;-0.0168;-0.0166;-0.0066;0.018;0.0231;-0.0129;0.0298;0.0283;-0.0262;0.0178;-0.0173;-0.021;0.003;0.0421;-0.0163;0.0002;0.0253;0.0544;0.0211;0.0632;-0.0617;-0.0495;0.011;-0.0176;-0.0399;0.052;-0.0374;0.0224;0.0032;0.0148;-0.0657;-2.8877;0.5508;0.4064;-0.123;-0.2299;0.5508;0.107;0.7487;0.2353;-0.2995;-0.8984;-0.8877;-0.3529;0.9626;1.2353;-0.6898;1.5936;1.5134;-1.4011;0.9519;-0.9251;-1.123;0.1604;2.2513;-0.8717;0.0107;1.3529;2.9091;1.1283;3.3797;-3.2995;-2.6471;0.5882;-0.9412;-2.1337;2.7807;-2;1.1979;0.1711;0.7914;-3.5134
10;-0.0013;0.003;0.0075;0.0068;-0.0011;-0.0018;-0.0161;-0.0014;0.0277;0.0051;0.0015;-0.0176;-0.0087;0.0066;-0.0002;-0.0215;0.0075;0.0481;-0.0175;0.0114;-0.0214;-0.0054;-0.0266;0.0495;-0.0539;-0.0723;0.0091;-0.0698;-0.1111;-0.1632;0.2225;-0.0898;-0.0998;0.0282;0.0532;0.0441;-0.0222;-0.0144;-0.0082;-0.0343;0.0752;-0.1193;0.2752;0.6881;0.6239;-0.1009;-0.1651;-1.4771;-0.1284;2.5413;0.4679;0.1376;-1.6147;-0.7982;0.6055;-0.0183;-1.9725;0.6881;4.4128;-1.6055;1.0459;-1.9633;-0.4954;-2.4404;4.5413;-4.945;-6.633;0.8349;-6.4037;-10.1927;-14.9725;20.4128;-8.2385;-9.156;2.5872;4.8807;4.0459;-2.0367;-1.3211;-0.7523;-3.1468;6.8991
