"Event ID";Window;"CAR Value";"BHAR Value";"CAR t-test"
1;"(-10, 30)";-0.091;-0.0458;-0.6402
2;"(-10, 30)";0.3242;0.2272;2.1364
3;"(-10, 30)";-0.2928;-0.1998;-2.4323
4;"(-10, 30)";0.2053;0.1743;2.788
5;"(-10, 30)";-0.3184;-0.2547;-1.6743
6;"(-10, 30)";-0.2716;-0.231;-2.5399
7;"(-10, 30)";0.1603;0.0842;1.4902
8;"(-10, 30)";-0.0801;-0.0632;-0.3301
9;"(-10, 30)";0.0066;-0.0011;0.0551
10;"(-10, 30)";-0.2726;-0.2357;-3.9058
11;"(-10, 30)";-0.3775;-0.3073;-6.1412
12;"(-10, 30)";-0.7043;-0.503;-5.8507
13;"(-10, 30)";0.0206;-0.0023;0.0938
14;"(-10, 30)";0.1482;0.0972;1.3379
15;"(-10, 30)";-0.1033;-0.071;-0.9777
16;"(-10, 30)";-0.5658;-0.3547;-5.7008
17;"(-10, 30)";-0.1363;-0.1106;-1.8838
18;"(-10, 30)";0.06;0.0457;0.483
19;"(-10, 30)";0.4792;0.3584;3.1053
20;"(-10, 30)";0.1662;0.0992;3.09
21;"(-10, 30)";0.0923;0.0641;0.2991
22;"(-10, 30)";0.3146;0.2581;3.3652
23;"(-10, 30)";-0.2472;-0.2372;-2.4748
24;"(-10, 30)";-0.1767;-0.1602;-1.8901
25;"(-10, 30)";-0.0466;-0.0389;-0.3751
26;"(-10, 30)";-0.3641;-0.3207;-5.9232
27;"(-10, 30)";0.1955;0.1349;1.8504
28;"(-10, 30)";-0.3014;-0.27;-5.5377
29;"(-10, 30)";0.1279;0.0067;1.3055
30;"(-10, 30)";-0.6048;-0.4126;-7.1018
31;"(-10, 30)";-0.1039;-0.1286;-1.1427
32;"(-10, 30)";0.4879;0.3955;2.5656
33;"(-10, 30)";-0.8728;-0.5603;-3.261
34;"(-10, 30)";0.2197;0.1452;2.1445
35;"(-10, 30)";-0.1763;-0.1517;-1.6389
36;"(-10, 30)";-0.0341;-0.0371;-0.3887
37;"(-10, 30)";-0.0292;-0.0353;-0.3832
38;"(-10, 30)";0.0036;0.021;0.0202
39;"(-10, 30)";-0.115;-0.0787;-0.3913
40;"(-10, 30)";0.0231;-0.0617;0.2841
41;"(-10, 30)";0.1826;0.1138;1.6775
42;"(-10, 30)";0.0916;0.0426;1.2123
43;"(-10, 30)";0.3024;0.2108;1.2461
44;"(-10, 30)";-0.4781;-0.418;-6.9136
45;"(-10, 30)";0.1903;0.1355;3.0958
46;"(-10, 30)";-0.0532;-0.0665;-0.8839
47;"(-10, 30)";-0.1273;-0.1392;-2.2852
48;"(-10, 30)";0.3415;0.1161;1.9254
49;"(-10, 30)";-0.1882;-0.1618;-2.7728
50;"(-10, 30)";-0.0731;-0.068;-0.7819
51;"(-10, 30)";-0.3411;-0.3611;-6.0535
52;"(-10, 30)";-0.1294;-0.1483;-2.1966
53;"(-10, 30)";-0.2596;-0.2471;-4.7697
54;"(-10, 30)";0.1652;0.0816;1.5828
55;"(-10, 30)";-0.3949;-0.3557;-7.0889
56;"(-10, 30)";-0.1099;-0.1187;-1.0096
57;"(-10, 30)";-0.1742;-0.1637;-1.9159
58;"(-10, 30)";0.3249;0.1822;1.488
59;"(-10, 30)";-0.4904;-0.472;-6.3823
60;"(-10, 30)";0.2121;0.1453;1.4592
61;"(-10, 30)";-0.2617;-0.2802;-4.0871
62;"(-10, 30)";0.2125;0.1622;2.7888
63;"(-10, 30)";-0.3795;-0.2884;-4.2334
64;"(-10, 30)";0.4976;0.3721;3.5324
65;"(-10, 30)";0.2896;0.1998;1.5384
66;"(-10, 30)";0.4534;0.3348;3.65
67;"(-10, 30)";-0.2528;-0.1629;-1.8711
68;"(-10, 30)";0.3562;0.2711;0.8241
69;"(-10, 30)";-0.1163;-0.0751;-0.4869
